,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
3883,3,321,23,103,3.58, 本科：南大，浙大，复旦，上交,302536811
383,3,326,,109,3.58, 本科Top30 211,wangyuesong2
1362,3.5,323,19,101,3.59, 本科Top30 211,sharpyyoung
667,,320,23,103,3.59, 本科Top30 211,iwlam525
3251,3,323,22,106,3.59, 本科：南大，浙大，复旦，上交,mikealive
672,,319,23,98,3.6, 本科Top15 211,VAN-C
1098,,321,,98,3.6, 海本,ceclinux
4228,,317,,98,3.6, 本科其他211,Liddy_L
13,3.5,322,23,99,3.6, 本科Top15 211,剪时光
919,,,,100,3.6, 海本,yiqinyang2
4067,2.5,314,,100,3.6, 本科Top15 211,violet_xrym
2203,3,321,22,101,3.6, 本科Top15 211,西西可橙
3567,3,327,22,101,3.6, 本科Top30 211,lizihao945
3615,3,323,22,102,3.6, 本科Top15 211,Ryo
367,3.5,330,23,102,3.6, 本科Top15 211,jasonl815
3699,4,324,26,103,3.6, 本科Top15 211,xieyt
2281,3.5,319,23,104,3.6, 本科Top15 211,susanaisai
542,3.5,316,24,105,3.6, 本科其他211,mrholiday
96,,322,,105,3.6, 本科Top15 211,ysl12316223
929,,320,,105,3.6, 本科：北大，清华，科大，中科院，特色学校牛专业,fly6464
2335,,320,,106,3.6, 本科非211,qmn199232
2744,,322,,106,3.6, 本科Top30 211,wwyiyi
869,3.5,325,23,108,3.6, 本科Top15 211,ylcboy
3,,,,,3.6, 本科非211,ivan93
1951,,316,,,3.6, 海本,illc1991
2716,,,,,3.6, 本科非211,samurai_sz
2811,,,,,3.6, 本科其他211,jimrex
2966,,,,,3.6, 海本,guanlun
3148,4.5,327,,,3.6,,tljameswade
3950,,,,,3.6, 本科Top15 211,jumpdewey
237,3,317,19,100,3.61, 本科非211,Jack_S
3079,3,323,,100,3.61,, xiaovid
149,,,,,3.61, 本科Top15 211,我要去美国
3521,3,320,,100,3.62, 本科Top30 211,jacketsu
1082,3,321,23,103,3.62, 海本,ray1213
1257,3,320,22,104,3.62, 本科Top15 211,hjx447297354
4285,4,325,22,106,3.62, 海本,灰溜溜溜溜
553,3,320,23,106,3.62, 本科：南大，浙大，复旦，上交,南慕伦
74,3,328,24,107,3.62, 本科其他211,nzou1991
83,,,,,3.62, 本科Top30 211,leejacky
2747,3,314,,,3.62, 海本,dianedan
2958,,,,,3.62, 海本,nbchao
476,,320,18,103,3.622, 本科：南大，浙大，复旦，上交,salamanderrex1
3336,3,323,23,101,3.63, 海本,mmis007
34,4,315,,101,3.63, 本科：北大，清华，科大，中科院，特色学校牛专业,oldjade
126,,,23,105,3.63, 本科Top15 211,baimaoguhuimao
2303,3,326,26,106,3.63, 本科Top30 211,astrid0221
1418,,,,,3.63, 本科非211,jiamuxeuer
2715,,,,,3.63, 本科Top30 211,laahaa
4256,,,,,3.63, 本科非211,TinaBao
3579,3,324,,92,3.64, 本科：南大，浙大，复旦，上交,lin88lin8850
2873,,317,,100,3.64, 海本,linx0544
2699,3,316,20,101,3.64, 本科Top15 211,little_littfish
2761,3,320,23,101,3.64, 本科Top30 211,Seddas
3744,,324,,102,3.64, 本科其他211,gjw931110
622,3,323,22,104,3.64, 本科：南大，浙大，复旦，上交,begg930
3756,4,326,20,105,3.64,,daat11elyon
445,3,320,,105,3.64, 本科：南大，浙大，复旦，上交,LumiG
2591,3.5,322,23,110,3.64, 本科Top15 211,洱海沧浪
862,,,,,3.64, 本科：北大，清华，科大，中科院，特色学校牛专业,songty11
1255,3,313,,,3.64, 海本,rover
2490,,,,,3.64, 本科Top30 211,z-ling
3478,,320,,93,3.65, 本科Top30 211,markpen
3755,3,322,23,101,3.65, 本科Top15 211,heidixy
4062,3,323,,102,3.65, 本科Top30 211,大风糊一脸
916,4,319,22,104,3.65, 本科Top15 211,陌染清源
2630,3,326,26,108,3.65, 本科：北大，清华，科大，中科院，特色学校牛专业,hbisheng
374,3.5,330,27,114,3.65, 本科：南大，浙大，复旦，上交,muybienw
1068,3,307,,,3.65, 海本,lululillian
195,3,306,22,94,3.66, 本科非211,吱吱
490,3,323,20,95,3.66, 本科Top30 211,jiangsl
206,,315,,100,3.66, 本科非211,LJYee
1889,3.5,325,,100,3.66, 本科Top15 211,ieijkd
3136,3,324,18,102,3.66, 本科：南大，浙大，复旦，上交,dongxinb
2639,3.5,320,22,102,3.66, 本科：南大，浙大，复旦，上交,243630184
4043,3,326,23,108,3.66, 本科：北大，清华，科大，中科院，特色学校牛专业,怎么又笑了
960,3.5,324,,108,3.66, 本科Top15 211,oh_baizhima
800,,,,,3.66, 本科：北大，清华，科大，中科院，特色学校牛专业,karanbb
2063,,327,,,3.66, 海本,timatim
2531,,,,,3.66, 本科Top30 211,jessiegao
156,3,307,22,90,3.67, 本科Top15 211,Venchyy-go-US
2566,4.5,320,,100,3.67, 海本,go7going
344,3,,,108,3.67, 本科Top30 211,Aaron_Liu
2057,3.5,319,26,111,3.67, 本科Top30 211,sdlny
2336,,,,,3.67, 本科非211,majia67
1412,3.5,322,23,104,3.68, 本科：南大，浙大，复旦，上交,rp_cai
425,3,321,23,106,3.68, 本科：南大，浙大，复旦，上交,活性氧
2533,,329,,106,3.68, 本科Top30 211,liuguiliang123
687,3,320,,,3.68, 海本,ldf92
4081,,,,,3.68, 本科：北大，清华，科大，中科院，特色学校牛专业,pkutzy
4166,,319,,92,3.69, 本科非211,jane11233
479,3.5,329,23,103,3.69, 本科：南大，浙大，复旦，上交,AspirinSJL
3539,3.5,327,,106,3.69, 本科：北大，清华，科大，中科院，特色学校牛专业,shiyqw
2854,,318,,108,3.69, 本科Top15 211,zhangxi1994
